,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,2022-11-21 06:00:00,16223.7,16060.77,16198.27,1585.98,25605838.35,16064.8,direct,
1,2022-11-21 07:00:00,16118.97,15937.75,16064.8,2067.06,33148248.51,16008.8,direct,
2,2022-11-21 08:00:00,16039.64,15971.06,16008.8,2424.82,38803423.7,16009.23,direct,
3,2022-11-21 09:00:00,16132.6,15951.28,16009.23,2326.33,37282629.22,16088.43,direct,
4,2022-11-21 10:00:00,16120.66,16036.12,16088.43,1219.49,19602023.18,16106.75,direct,
5,2022-11-21 11:00:00,16127.04,16037.1,16106.75,1123.68,18060795.85,16059.94,direct,
6,2022-11-21 12:00:00,16107.15,16004.07,16059.94,1763.51,28297696.8,16085.01,direct,
7,2022-11-21 13:00:00,16254.97,16075.83,16085.01,2848.09,46061212.18,16150.18,direct,
8,2022-11-21 14:00:00,16226.14,16128.33,16150.18,2459.41,39771702.52,16144.34,direct,
9,2022-11-21 15:00:00,16152.36,16091.62,16144.34,2630.91,42415432.24,16107.73,direct,
10,2022-11-21 16:00:00,16114.92,15899.62,16107.73,4429.49,70951738.3,16013.09,direct,
11,2022-11-21 17:00:00,16051.71,15964.55,16013.09,3173.96,50829668.45,15993.01,direct,
12,2022-11-21 18:00:00,16013.34,15911.84,15993.01,3232.06,51589796.52,15949.34,direct,
13,2022-11-21 19:00:00,15983.5,15592.58,15949.34,7182.45,113093984.26,15709.98,direct,
14,2022-11-21 20:00:00,15863.7,15699.07,15709.98,5650.43,89208343.25,15768.83,direct,
15,2022-11-21 21:00:00,15830.4,15480.69,15768.83,6783.44,106218764.36,15631.36,direct,
16,2022-11-21 22:00:00,15837.67,15598.88,15631.36,6541.19,102728917.06,15723.1,direct,
17,2022-11-21 23:00:00,15831.4,15713.41,15723.1,3287.0,51836032.02,15760.19,direct,
18,2022-11-22 00:00:00,15937.1,15730.09,15760.19,4954.62,78578383.77,15845.56,direct,
19,2022-11-22 01:00:00,15874.16,15779.53,15845.56,2335.95,36958769.97,15789.6,direct,
20,2022-11-22 02:00:00,15885.24,15749.26,15789.6,2599.8,41065402.97,15869.21,direct,
21,2022-11-22 03:00:00,15894.76,15812.17,15869.21,1876.55,29737051.39,15819.65,direct,
22,2022-11-22 04:00:00,15838.48,15783.68,15819.65,1351.68,21367979.24,15797.0,direct,
23,2022-11-22 05:00:00,15849.07,15759.08,15797.0,1775.4,28049292.83,15781.36,direct,
